REGISTRIES,COUNT,SHARE
Famous Four Media Ltd.�,5724840,24.6
Donuts Inc.�,3758957,16.2
Radix FZC�,2517067,10.8
"Jiangsu Bangning Science & Technology Co.,Ltd.",2423028,10.4
XYZ.COM LLC,2373977,10.2
Minds + Machines Group Limited�,1433395,6.2
CLUB Domains LLC,1242374,5.3
"GMO Registry, Inc.",680756,2.9
Zodiac Holdings Ltd.�,669113,2.9
"Uniregistry, Corp.",433540,1.9
Alibaba Group Holding Ltd.�,367136,1.6
"KNET Co., Ltd.",232967,1
Afilias Limited�,166731,0.7
"Knock Knock WHOIS There, LLC(Automattic Inc. / wordpress.com)",156958,0.7
ARUBA S.p.A.,144708,0.6
"Top Level Design, LLC",140941,0.6
"Beijing Qianxiang Wangjing Technology Development Co., Ltd.",119359,0.5
"Joint Stock Company ""Navigation-information systems""",112335,0.5
Computer Network Information Center of Chinese Academy of Sciences(China Internet Network Information Center),80181,0.3
The City of New York by and through the New York City Department of Information Technology & Telecommunications,70393,0.3
One Registry,65755,0.3
Rusnames Limited,62331,0.3
TLD REGISTRY LIMITED,57644,0.2
OVH SAS,56492,0.2
"Fegistry, LLC",55859,0.2
dotBERLIN GmbH & Co. KG,55667,0.2
Dot Global Domain Registry Limited,43396,0.2
Real Estate Domains LLC,40641,0.2
"Beijing RITT-Net Technology Development Co., Ltd",36033,0.2
Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),35743,0.2
