TLDS,COUNT,SHARE %,URL
loan,2585685,11.1,http://nic.loan
top,2377265,10.2,http://www.nic.top/en
xyz,2368201,10.2,http://nic.xyz
club,1240523,5.3,http://dotclub.com
vip,882556,3.8,http://mmx.co/
online,841597,3.6,http://radix.website/dot-online/
win,677153,2.9,http://nic.win
wang,617410,2.7,http://www.zodiacregistry.com
shop,566061,2.4,http://www.gmo-registry.com
men,544196,2.3,http://www.famousfourmedia.com/
site,498478,2.1,http://radix.website/dot-site/
bid,387919,1.7,http://www.famousfourmedia.com
xin,366882,1.6,http://nic.xin/
ltd,353952,1.5,http://donuts.co
space,276127,1.2,http://radix.website/
work,264686,1.1,http://mmx.co/
website,259580,1.1,http://radix.website/
stream,242499,1,
tech,240652,1,http://radix.website/
review,235484,1,http://nic.review
xn--ses554g,232864,1,http://knet.cn/
link,199061,0.9,http://www.uniregistry.com
store,190990,0.8,http://www.radix.website/
life,187662,0.8,http://donuts.co
live,174250,0.7,http://www.rightside.co
trade,169295,0.7,http://www.famousfourmedia.com
blog,155993,0.7,https://nic.blog/
cloud,143303,0.6,https://www.aruba.it/
download,139756,0.6,http://nic.support/
date,132389,0.6,http://nic.date
